epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.4,2.28058,3.5533,2.08264,0.00843,0.25234,0.0809,0.02697,2.27878,3.70453,1.88158,8.335e-05,8.335e-05,8.335e-05
2,413.955,2.07896,3.31157,1.96316,0.0135,0.28972,0.13954,0.0445,2.07737,3.71461,1.88672,0.000179739,0.000179739,0.000179739
3,536.8,1.96266,2.71534,1.84298,0.01565,0.29907,0.1714,0.07041,2.07486,3.56778,1.84337,0.000272168,0.000272168,0.000272168
4,640.767,1.92589,2.27317,1.76022,0.01885,0.37383,0.19923,0.0965,1.9993,3.37104,1.70496,0.000360635,0.000360635,0.000360635
5,737.74,1.88014,2.20593,1.73702,0.2377,0.20561,0.17085,0.07743,2.06941,3.31848,1.75017,0.000445142,0.000445142,0.000445142
6,833.832,1.72895,1.98964,1.6381,0.90296,0.08715,0.20289,0.0876,2.16151,3.27664,1.8023,0.000525688,0.000525688,0.000525688
7,931.89,1.72241,1.92543,1.65766,0.87772,0.08411,0.2005,0.07729,2.30112,3.39502,1.9803,0.000602274,0.000602274,0.000602274
8,1028.27,1.72207,1.89199,1.63429,0.89667,0.08131,0.25001,0.09977,2.26081,3.28942,1.84891,0.000674898,0.000674898,0.000674898
9,1111.63,1.72135,1.88196,1.59861,0.69656,0.12881,0.29821,0.12024,2.27391,3.06216,1.86682,0.000743562,0.000743562,0.000743562
10,1188.35,1.72343,1.82189,1.62625,0.69525,0.14953,0.29788,0.11937,2.23454,2.98006,1.8487,0.000808265,0.000808265,0.000808265
11,1265.63,1.56795,1.61722,1.51927,0.8021,0.18947,0.33733,0.12461,2.29543,3.07672,1.86968,0.000869007,0.000869007,0.000869007
12,1342.21,1.66404,1.64159,1.56111,0.857,0.1028,0.32461,0.12103,2.28667,3.17487,1.84404,0.000925788,0.000925788,0.000925788
13,1420.05,1.55675,1.55535,1.49521,0.79844,0.07411,0.22077,0.07926,2.30474,3.38667,1.94251,0.000978609,0.000978609,0.000978609
14,1496.67,1.52181,1.5157,1.47041,0.88307,0.14121,0.23178,0.09749,2.37871,3.32625,1.95147,0.00102747,0.00102747,0.00102747
15,1573.56,1.4896,1.46152,1.41638,0.87753,0.16822,0.2484,0.09959,2.42173,3.29155,1.99499,0.00107237,0.00107237,0.00107237
16,1650.53,1.43663,1.45435,1.41863,0.88634,0.21495,0.35533,0.13292,2.37831,2.96832,1.98906,0.00111331,0.00111331,0.00111331
17,1727.98,1.48454,1.43613,1.44528,0.85006,0.21201,0.29487,0.08453,2.47572,3.09332,2.09477,0.00113889,0.00113889,0.00113889
18,1803.71,1.45975,1.42674,1.43148,0.72491,0.2243,0.31169,0.11493,2.49874,2.96547,2.10132,0.00110589,0.00110589,0.00110589
19,1881.53,1.36029,1.42388,1.38578,0.57783,0.25589,0.32576,0.11812,2.49295,2.83551,2.05299,0.00107288,0.00107288,0.00107288
20,1958.19,1.43143,1.37739,1.40528,0.52973,0.29907,0.34815,0.11777,2.44816,2.68353,2.03986,0.00103987,0.00103987,0.00103987
21,2039.88,1.37226,1.27322,1.31805,0.52456,0.33645,0.34452,0.10645,2.48629,2.67176,2.0744,0.00100687,0.00100687,0.00100687
22,2119.9,1.36196,1.26908,1.33629,0.49864,0.39252,0.38785,0.15065,2.40496,2.53062,2.0232,0.000973861,0.000973861,0.000973861
23,2198.07,1.27615,1.27528,1.32114,0.55951,0.30841,0.3031,0.12121,2.41434,2.60759,2.09093,0.000940855,0.000940855,0.000940855
24,2284.79,1.24951,1.21048,1.28239,0.51825,0.28037,0.31804,0.10806,2.47053,2.65082,2.1768,0.000907848,0.000907848,0.000907848
